Episode,WhiteBallStartX,WhiteBallStartY,RedBallStartX,RedBallStartY,YellowBallStartX,YellowBallStartY,HitAngle,HitForce,RedTouched,YellowTouched,CushionCount,Score,Reward,TimeStamp
0,3.74,0.95,-0.93,0.72,5.44,1.75,262.48,28.11,False,False,5,0,-1,2025-06-16 03:22:23
1,3.74,0.95,-0.93,0.72,5.44,1.75,258.88,18.84,False,False,4,0,-1,2025-06-16 03:23:00
2,3.74,0.95,-0.93,0.72,5.44,1.75,61.17,25.69,False,True,3,0,8,2025-06-16 03:23:11
3,3.74,0.95,-0.93,0.72,5.44,1.75,176.71,16.13,False,True,2,0,4,2025-06-16 03:23:23
4,3.74,0.95,-0.93,0.72,5.44,1.75,257.86,29.46,False,False,5,0,-1,2025-06-16 03:23:34
5,3.74,0.95,-0.93,0.72,5.44,1.75,64.39,20.66,False,False,5,0,-1,2025-06-16 03:23:45
6,3.74,0.95,-0.93,0.72,5.44,1.75,57.67,25.17,False,True,3,0,8,2025-06-16 03:23:56
7,3.74,0.95,-0.93,0.72,5.44,1.75,64.59,23.21,False,False,5,0,-1,2025-06-16 03:24:08
8,3.74,0.95,-0.93,0.72,5.44,1.75,166.59,20.39,False,False,3,0,-1,2025-06-16 03:24:20
9,3.74,0.95,-0.93,0.72,5.44,1.75,125.93,21.7,False,False,5,0,-1,2025-06-16 03:24:31
10,3.74,0.95,-0.93,0.72,5.44,1.75,60.14,22.2,False,True,1,0,3,2025-06-16 03:24:42
11,3.74,0.95,-0.93,0.72,5.44,1.75,64.11,25.15,False,False,5,0,-1,2025-06-16 03:24:53
12,3.74,0.95,-0.93,0.72,5.44,1.75,211.36,26.34,False,True,4,0,8,2025-06-16 03:25:05
13,3.74,0.95,-0.93,0.72,5.44,1.75,294.13,18.32,False,False,5,0,-1,2025-06-16 03:25:16
14,3.74,0.95,-0.93,0.72,5.44,1.75,172.3,20.03,False,False,2,0,-10,2025-06-16 03:25:28
15,3.74,0.95,-0.93,0.72,5.44,1.75,150.55,24.49,False,False,4,0,-1,2025-06-16 03:25:40
16,3.74,0.95,-0.93,0.72,5.44,1.75,360,24.74,True,False,4,0,8,2025-06-16 03:25:52
17,3.74,0.95,-0.93,0.72,5.44,1.75,160.11,23.82,True,False,2,0,4,2025-06-16 03:26:04
