Episode,WhiteBallStartX,WhiteBallStartY,RedBallStartX,RedBallStartY,YellowBallStartX,YellowBallStartY,HitAngle,HitForce,RedTouched,YellowTouched,CushionCount,Score,Reward,TimeStamp
0,2.418697,-1.485865,4.295227,-1.993788,-2.301268,2.246349,137.83,28.27,False,False,5,0,-1,2025-06-14 21:56:21
1,2.418697,-1.485865,4.295227,-1.993788,-2.301268,2.246349,360,28.98,False,False,3,0,-1,2025-06-14 21:56:34
2,2.418697,-1.485865,4.295227,-1.993788,-2.301268,2.246349,268.08,21.97,False,False,5,0,-1,2025-06-14 21:56:45
3,2.418697,-1.485865,4.295227,-1.993788,-2.301268,2.246349,276.51,28.25,False,False,5,0,-1,2025-06-14 21:56:56
4,2.418697,-1.485865,4.295227,-1.993788,-2.301268,2.246349,260.83,23.78,False,False,5,0,-1,2025-06-14 21:57:07
5,2.418697,-1.485865,4.295227,-1.993788,-2.301268,2.246349,250.69,19.63,False,False,4,0,-1,2025-06-14 21:57:19
6,2.418697,-1.485865,4.295227,-1.993788,-2.301268,2.246349,164.09,25.44,False,True,4,0,8,2025-06-14 21:57:30
7,2.418697,-1.485865,4.295227,-1.993788,-2.301268,2.246349,272.79,29.4,False,False,5,0,-1,2025-06-14 21:57:42
8,2.418697,-1.485865,4.295227,-1.993788,-2.301268,2.246349,116.66,25.19,False,False,4,0,-1,2025-06-14 21:57:53
9,2.418697,-1.485865,4.295227,-1.993788,-2.301268,2.246349,360,28.54,False,False,3,0,-1,2025-06-14 21:58:06
10,2.418697,-1.485865,4.295227,-1.993788,-2.301268,2.246349,360,25.79,False,False,3,0,-1,2025-06-14 21:58:18
11,2.418697,-1.485865,4.295227,-1.993788,-2.301268,2.246349,286.77,25.29,False,False,5,0,-1,2025-06-14 21:58:29
12,2.418697,-1.485865,4.295227,-1.993788,-2.301268,2.246349,360,30,False,False,4,0,-1,2025-06-14 21:58:42
13,2.418697,-1.485865,4.295227,-1.993788,-2.301268,2.246349,360,23.37,False,False,3,0,-1,2025-06-14 21:58:54
14,2.418697,-1.485865,4.295227,-1.993788,-2.301268,2.246349,358.51,20.9,False,False,3,0,-1,2025-06-14 21:59:06
15,2.418697,-1.485865,4.295227,-1.993788,-2.301268,2.246349,360,30,False,False,4,0,-1,2025-06-14 21:59:18
16,2.418697,-1.485865,4.295227,-1.993788,-2.301268,2.246349,339.98,20.94,True,False,4,0,8,2025-06-14 21:59:29
17,2.418697,-1.485865,4.295227,-1.993788,-2.301268,2.246349,360,29.11,False,False,3,0,-1,2025-06-14 21:59:42
18,2.418697,-1.485865,4.295227,-1.993788,-2.301268,2.246349,360,29.41,False,False,3,0,-1,2025-06-14 22:04:39
19,2.418697,-1.485865,4.295227,-1.993788,-2.301268,2.246349,199.18,30,False,False,4,0,-1,2025-06-14 22:04:52
20,2.418697,-1.485865,4.295227,-1.993788,-2.301268,2.246349,216.6,25.15,False,True,4,0,8,2025-06-14 22:05:03
21,2.418697,-1.485865,4.295227,-1.993788,-2.301268,2.246349,240.78,30,False,False,5,0,-1,2025-06-14 22:05:14
22,2.418697,-1.485865,4.295227,-1.993788,-2.301268,2.246349,286.19,25.3,False,False,5,0,-1,2025-06-14 22:05:26
23,2.418697,-1.485865,4.295227,-1.993788,-2.301268,2.246349,348.2,26.21,True,False,2,0,4,2025-06-14 22:05:37
24,2.418697,-1.485865,4.295227,-1.993788,-2.301268,2.246349,360,26.4,False,False,3,0,-1,2025-06-14 22:05:50
25,2.418697,-1.485865,4.295227,-1.993788,-2.301268,2.246349,137.87,28.6,False,False,5,0,-1,2025-06-14 22:06:02
