Episode,WhiteBallStartX,WhiteBallStartY,RedBallStartX,RedBallStartY,YellowBallStartX,YellowBallStartY,HitAngle,HitForce,RedTouched,YellowTouched,CushionCount,Score,Reward,TimeStamp
0,3.74,0.95,-0.93,0.72,5.44,1.75,287.96,20.35,False,False,5,0,-1,2025-06-15 14:36:13
1,3.74,0.95,-0.93,0.72,5.44,1.75,94.05,23.42,False,False,5,0,-1,2025-06-15 14:36:25
2,3.74,0.95,-0.93,0.72,5.44,1.75,232.65,25.96,False,False,5,0,-1,2025-06-15 14:36:36
3,3.74,0.95,-0.93,0.72,5.44,1.75,68.13,20.93,False,True,4,0,8,2025-06-15 14:36:47
4,3.74,0.95,-0.93,0.72,5.44,1.75,329.63,25.53,False,True,5,0,8,2025-06-15 14:36:59
5,3.74,0.95,-0.93,0.72,5.44,1.75,180.72,18.46,True,False,3,0,8,2025-06-15 14:37:10
6,3.74,0.95,-0.93,0.72,5.44,1.75,245.52,13.23,False,False,3,0,-1,2025-06-15 14:37:20
7,3.74,0.95,-0.93,0.72,5.44,1.75,173.26,27.32,False,False,3,0,-1,2025-06-15 14:37:33
8,3.74,0.95,-0.93,0.72,5.44,1.75,222.48,24.2,False,False,5,0,-1,2025-06-15 14:37:44
9,3.74,0.95,-0.93,0.72,5.44,1.75,180.47,29.06,True,False,4,0,8,2025-06-15 14:37:56
10,3.74,0.95,-0.93,0.72,5.44,1.75,246.04,26.37,True,False,3,0,8,2025-06-15 14:38:07
11,3.74,0.95,-0.93,0.72,5.44,1.75,277.14,25.96,False,False,5,0,-1,2025-06-15 14:38:18
12,3.74,0.95,-0.93,0.72,5.44,1.75,16.64,21.88,False,True,2,0,4,2025-06-15 14:38:30
13,3.74,0.95,-0.93,0.72,5.44,1.75,100.7,23.5,False,False,5,0,-1,2025-06-15 14:38:41
14,3.74,0.95,-0.93,0.72,5.44,1.75,182.1,27.89,True,False,2,0,4,2025-06-15 14:38:53
15,3.74,0.95,-0.93,0.72,5.44,1.75,212.65,30,False,False,6,0,-1,2025-06-15 14:39:05
16,3.74,0.95,-0.93,0.72,5.44,1.75,60.7,14.39,False,True,1,0,3,2025-06-15 14:39:16
17,3.74,0.95,-0.93,0.72,5.44,1.75,157.29,19.57,False,False,3,0,-1,2025-06-15 14:39:28
18,3.74,0.95,-0.93,0.72,5.44,1.75,260.86,26.92,False,False,5,0,-1,2025-06-15 14:39:39
19,3.74,0.95,-0.93,0.72,5.44,1.75,205.48,20.57,False,False,3,0,-1,2025-06-15 14:39:51
20,3.74,0.95,-0.93,0.72,5.44,1.75,194.62,18.95,False,False,2,0,-10,2025-06-15 14:40:03
21,3.74,0.95,-0.93,0.72,5.44,1.75,331.48,22.76,True,False,3,0,8,2025-06-15 14:40:15
22,3.74,0.95,-0.93,0.72,5.44,1.75,360,23.77,True,False,4,0,8,2025-06-15 14:40:27
23,3.74,0.95,-0.93,0.72,5.44,1.75,322.68,30,False,False,6,0,-1,2025-06-15 14:40:38
24,3.74,0.95,-0.93,0.72,5.44,1.75,199.15,22.92,False,False,3,0,-1,2025-06-15 14:40:50
25,3.74,0.95,-0.93,0.72,5.44,1.75,258.63,30,False,False,5,0,-1,2025-06-15 14:41:02
26,3.74,0.95,-0.93,0.72,5.44,1.75,130.56,25.39,False,False,5,0,-1,2025-06-15 14:41:14
27,3.74,0.95,-0.93,0.72,5.44,1.75,314.44,21.7,False,False,5,0,-1,2025-06-15 14:41:25
28,3.74,0.95,-0.93,0.72,5.44,1.75,101.88,20.63,False,False,4,0,-1,2025-06-15 14:41:36
29,3.74,0.95,-0.93,0.72,5.44,1.75,168.25,21.16,False,False,3,0,-1,2025-06-15 14:41:48
30,3.74,0.95,-0.93,0.72,5.44,1.75,131.43,23.48,False,False,5,0,-1,2025-06-15 14:42:00
31,3.74,0.95,-0.93,0.72,5.44,1.75,207.77,20.36,False,False,4,0,-1,2025-06-15 14:42:11
32,3.74,0.95,-0.93,0.72,5.44,1.75,160.78,24.51,True,False,4,0,8,2025-06-15 14:42:23
33,3.74,0.95,-0.93,0.72,5.44,1.75,342.87,22.7,False,False,3,0,-1,2025-06-15 14:42:35
34,3.74,0.95,-0.93,0.72,5.44,1.75,0,18.21,True,False,3,0,8,2025-06-15 14:42:47
35,3.74,0.95,-0.93,0.72,5.44,1.75,170.03,27.44,False,False,3,0,-1,2025-06-15 14:42:59
36,3.74,0.95,-0.93,0.72,5.44,1.75,69.24,19.14,False,True,5,0,8,2025-06-15 14:43:10
37,3.74,0.95,-0.93,0.72,5.44,1.75,360,20.49,True,False,4,0,8,2025-06-15 14:43:22
38,3.74,0.95,-0.93,0.72,5.44,1.75,273.99,27.61,False,False,5,0,-1,2025-06-15 14:43:33
39,3.74,0.95,-0.93,0.72,5.44,1.75,220.51,27.56,True,False,3,0,8,2025-06-15 14:43:45
40,3.74,0.95,-0.93,0.72,5.44,1.75,223.26,19.25,False,False,4,0,-1,2025-06-15 14:43:56
41,3.74,0.95,-0.93,0.72,5.44,1.75,360,27.39,True,False,4,0,8,2025-06-15 14:44:09
42,3.74,0.95,-0.93,0.72,5.44,1.75,269.04,20.92,False,False,4,0,-1,2025-06-15 14:44:20
43,3.74,0.95,-0.93,0.72,5.44,1.75,84.49,25.91,False,False,5,0,-1,2025-06-15 14:44:31
44,3.74,0.95,-0.93,0.72,5.44,1.75,98.11,22.37,False,False,5,0,-1,2025-06-15 14:44:43
45,3.74,0.95,-0.93,0.72,5.44,1.75,176.91,27.9,False,False,3,0,-1,2025-06-15 14:44:55
46,3.74,0.95,-0.93,0.72,5.44,1.75,148.43,20.88,False,False,4,0,-1,2025-06-15 14:45:07
47,3.74,0.95,-0.93,0.72,5.44,1.75,41.07,27.6,False,False,5,0,-1,2025-06-15 14:45:19
48,3.74,0.95,-0.93,0.72,5.44,1.75,300.11,26.57,False,False,5,0,-1,2025-06-15 14:45:30
49,3.74,0.95,-0.93,0.72,5.44,1.75,187.39,25.06,False,False,3,0,-1,2025-06-15 14:45:42
50,3.74,0.95,-0.93,0.72,5.44,1.75,265.38,18.3,False,False,4,0,-1,2025-06-15 14:45:53
51,3.74,0.95,-0.93,0.72,5.44,1.75,360,24.02,True,False,4,0,8,2025-06-15 14:46:05
52,3.74,0.95,-0.93,0.72,5.44,1.75,193.37,22.24,False,False,3,0,-1,2025-06-15 14:46:17
53,3.74,0.95,-0.93,0.72,5.44,1.75,248.46,23.53,False,False,4,0,-1,2025-06-15 14:46:29
54,3.74,0.95,-0.93,0.72,5.44,1.75,251.2,24.6,False,False,5,0,-1,2025-06-15 14:46:40
55,3.74,0.95,-0.93,0.72,5.44,1.75,187.88,26.34,False,False,3,0,-1,2025-06-15 14:46:52
56,3.74,0.95,-0.93,0.72,5.44,1.75,185.27,22.09,True,True,4,1,10,2025-06-15 14:47:04
57,0.55,-2.06,1.3,-1,4.4,-1.64,218.67,24.79,False,True,5,0,8,2025-06-15 14:47:15
58,0.55,-2.06,1.3,-1,4.4,-1.64,163.66,23.81,False,False,3,0,-1,2025-06-15 14:47:27
59,0.55,-2.06,1.3,-1,4.4,-1.64,152.23,16.64,False,False,3,0,-1,2025-06-15 14:47:38
60,0.55,-2.06,1.3,-1,4.4,-1.64,58.97,16.53,True,False,1,0,3,2025-06-15 14:47:50
61,0.55,-2.06,1.3,-1,4.4,-1.64,0,20.68,False,False,3,0,-1,2025-06-15 14:48:02
62,0.55,-2.06,1.3,-1,4.4,-1.64,34.46,27.09,False,False,5,0,-1,2025-06-15 14:48:13
63,0.55,-2.06,1.3,-1,4.4,-1.64,358.24,28.99,False,False,3,0,-1,2025-06-15 14:48:26
64,0.55,-2.06,1.3,-1,4.4,-1.64,191.4,29.2,False,False,4,0,-1,2025-06-15 14:48:38
65,0.55,-2.06,1.3,-1,4.4,-1.64,112.15,20.16,False,False,4,0,-1,2025-06-15 14:48:50
66,0.55,-2.06,1.3,-1,4.4,-1.64,72.23,23.48,False,False,4,0,-1,2025-06-15 14:49:01
67,0.55,-2.06,1.3,-1,4.4,-1.64,257.24,20.84,False,False,4,0,-1,2025-06-15 14:49:13
68,0.55,-2.06,1.3,-1,4.4,-1.64,65.06,22.07,True,False,4,0,8,2025-06-15 14:49:24
69,0.55,-2.06,1.3,-1,4.4,-1.64,109.89,27.3,False,False,5,0,-1,2025-06-15 14:49:35
70,0.55,-2.06,1.3,-1,4.4,-1.64,248.1,29.62,False,False,5,0,-1,2025-06-15 14:49:47
71,0.55,-2.06,1.3,-1,4.4,-1.64,174.79,25.48,False,True,3,0,8,2025-06-15 14:49:59
72,0.55,-2.06,1.3,-1,4.4,-1.64,107.35,22.87,False,False,4,0,-1,2025-06-15 14:50:10
73,0.55,-2.06,1.3,-1,4.4,-1.64,32.61,20.03,False,False,4,0,-1,2025-06-15 14:50:22
74,0.55,-2.06,1.3,-1,4.4,-1.64,333.81,29.64,False,False,5,0,-1,2025-06-15 14:50:34
75,0.55,-2.06,1.3,-1,4.4,-1.64,169.12,26.27,False,False,3,0,-1,2025-06-15 14:50:47
76,0.55,-2.06,1.3,-1,4.4,-1.64,263.21,23.27,False,False,5,0,-1,2025-06-15 14:50:58
77,0.55,-2.06,1.3,-1,4.4,-1.64,360,25.51,False,False,3,0,-1,2025-06-15 14:51:10
78,0.55,-2.06,1.3,-1,4.4,-1.64,168.53,17.45,False,False,2,0,-10,2025-06-15 14:51:22
79,0.55,-2.06,1.3,-1,4.4,-1.64,23.98,20.99,False,False,3,0,-1,2025-06-15 14:51:34
80,0.55,-2.06,1.3,-1,4.4,-1.64,261.97,11.76,False,False,3,0,-1,2025-06-15 14:51:45
81,0.55,-2.06,1.3,-1,4.4,-1.64,248,21.84,False,False,4,0,-1,2025-06-15 14:51:56
82,0.55,-2.06,1.3,-1,4.4,-1.64,304.3,27.4,False,True,6,0,8,2025-06-15 14:52:07
83,0.55,-2.06,1.3,-1,4.4,-1.64,170.76,23.04,True,False,1,0,3,2025-06-15 14:52:19
84,0.55,-2.06,1.3,-1,4.4,-1.64,193.88,22.86,False,True,4,0,8,2025-06-15 14:52:31
85,0.55,-2.06,1.3,-1,4.4,-1.64,208.19,15.48,False,False,4,0,-1,2025-06-15 14:52:42
86,0.55,-2.06,1.3,-1,4.4,-1.64,77.37,17.95,False,False,4,0,-1,2025-06-15 14:52:53
87,0.55,-2.06,1.3,-1,4.4,-1.64,260.64,27.28,False,False,5,0,-1,2025-06-15 14:53:05
88,0.55,-2.06,1.3,-1,4.4,-1.64,360,19.82,False,False,3,0,-1,2025-06-15 14:53:16
89,0.55,-2.06,1.3,-1,4.4,-1.64,137.26,22.85,False,False,5,0,-1,2025-06-15 14:53:28
90,0.55,-2.06,1.3,-1,4.4,-1.64,205.73,8.85,False,False,2,0,-10,2025-06-15 14:53:39
91,0.55,-2.06,1.3,-1,4.4,-1.64,250.59,22.54,False,False,5,0,-1,2025-06-15 14:53:50
92,0.55,-2.06,1.3,-1,4.4,-1.64,261.32,22.92,False,False,5,0,-1,2025-06-15 14:54:01
93,0.55,-2.06,1.3,-1,4.4,-1.64,211.83,24.51,True,False,4,0,8,2025-06-15 14:54:12
94,0.55,-2.06,1.3,-1,4.4,-1.64,29.58,27.9,False,True,5,0,8,2025-06-15 14:54:23
95,0.55,-2.06,1.3,-1,4.4,-1.64,225.92,25,True,False,5,0,8,2025-06-15 14:54:34
96,0.55,-2.06,1.3,-1,4.4,-1.64,202.14,28.66,False,False,4,0,-1,2025-06-15 14:54:47
97,0.55,-2.06,1.3,-1,4.4,-1.64,94.15,16.38,False,False,4,0,-1,2025-06-15 14:54:57
98,0.55,-2.06,1.3,-1,4.4,-1.64,190.76,21.48,False,False,4,0,-1,2025-06-15 14:55:09
99,0.55,-2.06,1.3,-1,4.4,-1.64,126.24,25.09,False,False,5,0,-1,2025-06-15 14:55:21
100,0.55,-2.06,1.3,-1,4.4,-1.64,213.27,21.63,False,False,4,0,-1,2025-06-15 14:55:32
101,0.55,-2.06,1.3,-1,4.4,-1.64,203.82,24.62,False,False,5,0,-1,2025-06-15 14:55:44
102,0.55,-2.06,1.3,-1,4.4,-1.64,165.77,24.32,False,False,3,0,-1,2025-06-15 14:55:56
103,0.55,-2.06,1.3,-1,4.4,-1.64,319.36,26.24,False,False,5,0,-1,2025-06-15 14:56:08
104,0.55,-2.06,1.3,-1,4.4,-1.64,155.44,18.04,False,False,3,0,-1,2025-06-15 14:56:20
105,0.55,-2.06,1.3,-1,4.4,-1.64,349.49,30,False,False,4,0,-1,2025-06-15 14:56:32
106,0.55,-2.06,1.3,-1,4.4,-1.64,241.54,11.68,False,False,3,0,-1,2025-06-15 14:56:43
107,0.55,-2.06,1.3,-1,4.4,-1.64,175.79,29.86,False,True,2,0,4,2025-06-15 14:56:55
108,0.55,-2.06,1.3,-1,4.4,-1.64,78.05,25.47,False,False,5,0,-1,2025-06-15 14:57:06
109,0.55,-2.06,1.3,-1,4.4,-1.64,298.81,23,False,False,5,0,-1,2025-06-15 14:57:18
110,0.55,-2.06,1.3,-1,4.4,-1.64,241.58,18.27,False,False,4,0,-1,2025-06-15 14:57:29
111,0.55,-2.06,1.3,-1,4.4,-1.64,171.95,16.1,True,True,2,0,6,2025-06-15 14:57:32
112,0.55,-2.06,1.3,-1,4.4,-1.64,187.76,20.11,False,False,3,0,-1,2025-06-15 14:57:44
113,0.55,-2.06,1.3,-1,4.4,-1.64,243.52,23.36,False,False,4,0,-1,2025-06-15 14:57:55
114,0.55,-2.06,1.3,-1,4.4,-1.64,213.27,23.57,False,False,4,0,-1,2025-06-15 14:58:07
115,0.55,-2.06,1.3,-1,4.4,-1.64,179.86,26.61,False,False,3,0,-1,2025-06-15 14:58:20
116,0.55,-2.06,1.3,-1,4.4,-1.64,103.51,21.31,False,False,4,0,-1,2025-06-15 14:58:31
117,0.55,-2.06,1.3,-1,4.4,-1.64,119.15,28.35,False,False,6,0,-1,2025-06-15 14:58:42
118,0.55,-2.06,1.3,-1,4.4,-1.64,50.13,30,True,True,1,0,5,2025-06-15 14:58:43
119,0.55,-2.06,1.3,-1,4.4,-1.64,94.64,30,False,False,5,0,-1,2025-06-15 14:58:55
120,0.55,-2.06,1.3,-1,4.4,-1.64,254.9,26.78,False,False,5,0,-1,2025-06-15 14:59:06
121,0.55,-2.06,1.3,-1,4.4,-1.64,50.57,13.16,True,False,1,0,3,2025-06-15 14:59:17
122,0.55,-2.06,1.3,-1,4.4,-1.64,207.93,15.46,False,False,4,0,-1,2025-06-15 14:59:28
123,0.55,-2.06,1.3,-1,4.4,-1.64,111.88,22.51,False,False,4,0,-1,2025-06-15 14:59:40
124,0.55,-2.06,1.3,-1,4.4,-1.64,195.34,24.14,False,True,4,0,8,2025-06-15 14:59:52
125,0.55,-2.06,1.3,-1,4.4,-1.64,121.4,24.21,False,False,5,0,-1,2025-06-15 15:00:03
126,0.55,-2.06,1.3,-1,4.4,-1.64,360,16.87,False,False,2,0,-10,2025-06-15 15:00:15
127,0.55,-2.06,1.3,-1,4.4,-1.64,253.91,21.52,False,False,4,0,-1,2025-06-15 15:00:26
128,0.55,-2.06,1.3,-1,4.4,-1.64,85,16.3,False,False,4,0,-1,2025-06-15 15:00:37
129,0.55,-2.06,1.3,-1,4.4,-1.64,179.94,23.02,False,False,3,0,-1,2025-06-15 15:00:49
130,0.55,-2.06,1.3,-1,4.4,-1.64,213.16,16.03,False,False,4,0,-1,2025-06-15 15:01:00
131,0.55,-2.06,1.3,-1,4.4,-1.64,50.13,23.1,True,True,1,0,5,2025-06-15 15:01:02
132,0.55,-2.06,1.3,-1,4.4,-1.64,139.85,18.9,False,False,4,0,-1,2025-06-15 15:01:13
133,0.55,-2.06,1.3,-1,4.4,-1.64,81.99,26.97,True,False,2,0,4,2025-06-15 15:01:24
134,0.55,-2.06,1.3,-1,4.4,-1.64,0,13.29,False,False,2,0,-10,2025-06-15 15:01:35
135,0.55,-2.06,1.3,-1,4.4,-1.64,132.45,18.24,False,False,4,0,-1,2025-06-15 15:01:47
136,0.55,-2.06,1.3,-1,4.4,-1.64,283.01,30,True,False,5,0,8,2025-06-15 15:01:58
137,0.55,-2.06,1.3,-1,4.4,-1.64,351.47,21.16,False,False,3,0,-1,2025-06-15 15:02:10
